Year,News,VAAC,Total
2008,11,0,11
2009,12,0,12
2010,12,0,12
2011,7,0,7
2012,24,1,25
2013,43,135,178
2014,19,117,136
2015,16,40,56
2016,40,194,234
2017,35,281,316
2018,9,36,45
2019,0,1,1
2020,4,5,9
2021,7,9,16
2022,5,3,8
2023,12,55,67
2024,3,6,9
