Year,News,VAAC,Total
2008,4,0,4
2009,14,0,14
2010,3,0,3
2013,7,10,17
2014,3,5,8
2015,13,17,30
2016,4,0,4
2017,2,0,2
2018,3,3,6
2019,5,17,22
2020,3,3,6
2022,1,7,8
2023,2,0,2
2024,3,12,15
