Year,News,VAAC,Total
2008,30,0,30
2009,37,0,37
2010,27,0,27
2011,17,0,17
2012,65,9,74
2013,61,317,378
2014,21,149,170
2015,27,43,70
2016,1,0,1
2022,2,3,5
