Year,News,VAAC,Total
2008,15,0,15
2009,34,0,34
2010,32,0,32
2011,27,0,27
2012,15,0,15
2013,28,129,157
2014,81,707,788
2015,83,333,416
2016,69,569,638
2017,55,1338,1393
2018,46,1207,1253
2019,51,759,810
2020,62,695,757
2021,29,213,242
2022,22,327,349
2023,29,497,526
2024,46,715,761
