Year,News,VAAC,Total
2008,24,0,24
2009,22,0,22
2010,21,0,21
2011,23,0,23
2012,139,1,140
2013,137,30,167
2014,94,4,98
2015,61,0,61
2016,53,111,164
2017,31,356,387
2018,30,681,711
2019,20,729,749
2020,44,573,617
2021,34,1258,1292
2022,44,1130,1174
2023,46,1088,1134
2024,30,1174,1204
