Year,News,VAAC,Total
2008,2,0,2
2009,2,0,2
2011,1,0,1
2012,1,0,1
2013,5,0,5
2014,5,0,5
2015,4,0,4
2016,3,0,3
2017,13,44,57
2018,20,43,63
2019,31,130,161
2020,40,134,174
2021,17,89,106
2022,27,165,192
2023,31,247,278
2024,59,622,681
