Year,News,VAAC,Total
2008,3,0,3
2009,1,0,1
2013,2,0,2
2015,5,0,5
2016,15,21,36
2017,1,2,3
2018,7,31,38
2019,16,35,51
2020,18,28,46
2021,3,5,8
2022,14,22,36
2023,13,22,35
2024,1,1,2
