Year,News,VAAC,Total
2009,3,0,3
2012,4,4,8
2013,4,0,4
2016,15,73,88
2017,27,181,208
2018,10,50,60
2020,7,19,26
2021,11,28,39
2022,4,11,15
2023,3,10,13
2024,3,9,12
