Year,News,VAAC,Total
2008,1,0,1
2010,26,0,26
2011,6,0,6
2012,7,0,7
2013,10,5,15
2014,15,11,26
2015,1,2,3
2016,1,0,1
2018,24,41,65
2019,40,14,54
2020,29,24,53
2021,80,51,131
2022,56,7,63
2023,73,29,102
2024,51,31,82
