Year,News,VAAC,Total
2010,2,0,2
2011,1,0,1
2012,85,0,85
2013,58,0,58
2014,6,0,6
2015,31,0,31
2016,53,51,104
2017,14,45,59
2018,1,28,29
2019,4,128,132
2020,11,124,135
2021,14,509,523
2022,18,1224,1242
2023,40,772,812
2024,18,538,556
