Year,News,VAAC,Total
2008,13,0,13
2009,12,0,12
2010,20,0,20
2011,3,0,3
2012,27,0,27
2013,93,4,97
2014,42,1,43
2015,22,0,22
2016,12,0,12
2017,22,0,22
2018,21,5,26
2019,14,0,14
2020,52,13,65
2021,44,247,291
2024,1,0,1
