Year,News,VAAC,Total
2008,22,0,22
2009,20,0,20
2010,12,0,12
2011,21,0,21
2012,171,9,180
2013,178,131,309
2014,63,2,65
2015,36,0,36
2016,32,56,88
2017,11,294,305
2018,13,524,537
2019,37,1197,1234
2020,47,1175,1222
2021,29,685,714
2022,37,542,579
2023,51,1354,1405
2024,29,760,789
