Year,News,VAAC,Total
2008,10,0,10
2009,13,0,13
2010,12,0,12
2011,2,0,2
2012,47,5,52
2013,78,44,122
2014,47,0,47
2015,26,0,26
2016,12,29,41
2017,16,730,746
2018,8,1136,1144
2019,8,1393,1401
2020,32,1245,1277
2021,21,1198,1219
2022,28,1167,1195
2023,31,895,926
2024,20,832,852
