Year,News,VAAC,Total
2011,1,0,1
2012,5,0,5
2013,2,0,2
2014,2,0,2
2016,5,0,5
2017,9,1,10
2018,8,4,12
2019,8,0,8
2020,32,9,41
2021,11,10,21
2022,27,2,29
2023,23,2,25
2024,10,0,10
