Year,News,VAAC,Total
2013,17,6,23
2014,17,0,17
2015,10,0,10
2016,16,249,265
2017,54,1463,1517
2018,49,1432,1481
2019,26,1516,1542
2020,32,1547,1579
2021,16,1536,1552
2022,20,1503,1523
2023,25,1526,1551
2024,23,1284,1307
