Year,News,VAAC,Total
2008,21,0,21
2009,49,0,49
2010,49,0,49
2011,52,0,52
2012,115,185,300
2013,127,1115,1242
2014,74,645,719
2015,68,846,914
2016,34,206,240
2017,40,378,418
2018,57,874,931
2019,54,710,764
2020,79,665,744
2021,53,339,392
2022,57,318,375
2023,59,404,463
2024,46,170,216
