Year,News,VAAC,Total
2008,17,0,17
2009,3,0,3
2010,3,0,3
2011,2,0,2
2012,6,0,6
2013,2,1,3
2014,5,0,5
2015,9,0,9
2016,11,0,11
2017,1,7,8
2018,8,50,58
2019,9,24,33
2020,56,221,277
2021,40,137,177
2022,54,484,538
2023,63,708,771
2024,49,774,823
