Year,News,VAAC,Total
2008,39,0,39
2009,16,0,16
2010,1,0,1
2013,8,1,9
2014,71,12,83
2015,32,0,32
2016,7,3,10
2019,16,57,73
2020,5,0,5
2021,2,0,2
2022,1,0,1
2023,36,292,328
2024,12,24,36
