Year,News,VAAC,Total
2008,2,0,2
2009,1,0,1
2010,15,0,15
2011,5,0,5
2012,7,0,7
2013,19,13,32
2014,2,0,2
2016,6,68,74
2017,9,86,95
2018,6,4,10
2019,16,48,64
2020,2,0,2
2021,6,4,10
2022,1,2,3
2023,19,35,54
2024,2,1,3
