Year,News,VAAC,Total
2008,1,0,1
2012,22,0,22
2013,66,0,66
2014,2,0,2
2015,2,0,2
2016,6,7,13
2019,18,2,20
2020,32,43,75
2021,31,0,31
2022,24,5,29
2023,11,0,11
2024,29,173,202
2024,5,0,5
