Year,News,VAAC,Total
2009,2,0,2
2010,8,0,8
2011,4,0,4
2012,3,0,3
2013,10,0,10
2015,4,0,4
2016,11,57,68
2017,3,57,60
2018,8,44,52
2019,3,0,3
2020,16,30,46
2021,13,26,39
2022,18,32,50
2023,16,5,21
2024,11,0,11
