Name,News,VAAC,Total
Sakurajima,115,185,300
Popocatépetl,171,9,180
Paluweh,34,134,168
Tungurahua,117,33,150
Fuego,139,1,140
Santiaguito,115,0,115
Kilauea,101,0,101
Shiveluch,95,5,100
Karymsky,90,1,91
Nevado del Ruiz,85,0,85
El Hierro,79,0,79
Batu Tara,65,9,74
Cleveland,61,0,61
Etna,61,0,61
Manam,26,27,53
Reventador,47,5,52
Galeras,45,0,45
Lokon-Empung,28,16,44
Kizimen,41,0,41
San Cristobal,25,11,36
Tolbachik,20,16,36
Copahue,9,23,32
Puyehue-Cordón Caulle,31,0,31
Soufriere Hills,28,0,28
Santorini,28,0,28
Tongariro,28,0,28
Pacaya,27,0,27
Stromboli,26,0,26
Bagana,24,1,25
Little Sitkin,25,0,25
Pagan,18,5,23
White Island,22,0,22
Krakatau,21,0,21
Bezymianny,18,0,18
Machin,18,0,18
Sangay,18,0,18
Sotará,17,0,17
Cumbal,16,0,16
Dukono,15,0,15
Tjörnes Fracture Zone,15,0,15
Nyiragongo,15,0,15
Ambrym,15,0,15
Iliamna,14,0,14
Klyuchevskoy,13,0,13
Turrialba,12,0,12
Nevado del Huila,12,0,12
Katla,12,0,12
Ijen,12,0,12
Chirpoi,11,0,11
Soputan,11,0,11
Nyamuragira,11,0,11
Telica,10,0,10
Villarrica,10,0,10
Ruapehu,9,0,9
San Miguel,9,0,9
Grozny,9,0,9
Langila,4,4,8
Marapi,8,0,8
Suwanose-jima,8,0,8
Heard,8,0,8
Ulawun,7,0,7
Sirung,7,0,7
Gorely,7,0,7
Alaid,7,0,7
Merapi,7,0,7
Gamalama,6,0,6
Kanaga,6,0,6
Semeru,6,0,6
Raung,6,0,6
Tangkubanparahu,6,0,6
Poas,6,0,6
Askja,6,0,6
Karangetang,6,0,6
Erta Ale,5,0,5
Mammoth Mountain,5,0,5
Jebel Zubair,5,0,5
Rincón de la Vieja,5,0,5
Lewotolo,5,0,5
Rabaul (Tavurvur),4,0,4
Galunggung,4,0,4
Taal,4,0,4
Lascar,4,0,4
Apoyeque,4,0,4
Bromo,4,0,4
Tambora,3,0,3
Gamkonora,3,0,3
Yasur,3,0,3
Mayon,3,0,3
Havre Seamount,3,0,3
Bulusan,3,0,3
Arenal,3,0,3
Lamongan,3,0,3
Concepción,3,0,3
Masaya,3,0,3
Michael,3,0,3
Sangeang Api,3,0,3
Tinakula,3,0,3
Karthala,3,0,3
Monowai,3,0,3
Pago,3,0,3
Iwo-jima,3,0,3
Salton Buttes,2,0,2
Krísuvík,2,0,2
Long Valley,2,0,2
Tiatia,2,0,2
Tofua,2,0,2
Brennisteinsfjöll,2,0,2
Siple,2,0,2
Papandayan,2,0,2
Yellowstone,2,0,2
Fukutoku-Okanoba,2,0,2
Kirishima,2,0,2
Cameroon,2,0,2
Slamet,2,0,2
Nisyros,2,0,2
Svartsengi,2,0,2
Karkar,2,0,2
Hengill,2,0,2
Hekla,2,0,2
Zavodovski,2,0,2
Ranakah,2,0,2
Mt Fuji,2,0,2
Sundoro,2,0,2
Lewotobi,2,0,2
Ibu,1,0,1
Kikai,1,0,1
Ol Doinyo Lengai,1,0,1
Vesuvius,1,0,1
Kverkfjöll,1,0,1
Isluga,1,0,1
Singu Plateau,1,0,1
Boomerang Seamount,1,0,1
Erebus,1,0,1
Tokachi,1,0,1
Aoba,1,0,1
Adatara,1,0,1
Loihi,1,0,1
Coso,1,0,1
Laacher See,1,0,1
Lamington,1,0,1
Aoga-shima,1,0,1
Uturuncu,1,0,1
Callaqui,1,0,1
Cerro Negro,1,0,1
Momotombo,1,0,1
Nabro,1,0,1
Grímsvötn,1,0,1
Puntiagudo-Cordón Cenizos,1,0,1
Canlaon,1,0,1
Ojos del Salado,1,0,1
San Salvador,1,0,1
Fayal,1,0,1
Changbaishan,1,0,1
San Pedro-Pellado,1,0,1
Dempo,1,0,1
Bardarbunga,1,0,1
El Misti,1,0,1
Reclus,1,0,1
Campi Flegrei (Phlegrean Fields),1,0,1
Irazu,1,0,1
Mount Rainier,1,0,1
Tondano,1,0,1
Spurr,1,0,1
