Name,News,VAAC,Total
Sabancaya,54,1463,1517
Dukono,55,1338,1393
Shiveluch,58,779,837
Reventador,16,730,746
Sinabung,59,651,710
Klyuchevskoy,42,416,458
Sakurajima,40,378,418
Fuego,31,356,387
Turrialba,40,320,360
Bagana,35,281,316
Popocatépetl,11,294,305
Bogoslof,72,147,219
Langila,27,181,208
Agung,28,152,180
Karymsky,25,136,161
Colima,30,124,154
Bezymianny,39,77,116
Poas,29,83,112
Manam,18,93,111
Suwanose-jima,21,87,108
Ulawun,9,86,95
Aoba,13,70,83
Ebeko,53,24,77
Kambalny,12,58,70
Etna,29,38,67
Yasur,3,57,60
Sangay,11,49,60
Cleveland,55,4,59
Nevado del Ruiz,14,45,59
Ibu,13,44,57
Kilauea,56,0,56
Nevados de Chillán,20,27,47
Copahue,7,32,39
Sangeang Api,6,28,34
Ambrym,7,24,31
Chirinkotan,9,20,29
Tinakula,2,25,27
Piton de la Fournaise,23,3,26
Pacaya,22,0,22
Santiaguito,6,11,17
Erta Ale,15,0,15
Stromboli,15,0,15
Lopevi,5,9,14
Katmai,0,10,10
Rincón de la Vieja,9,1,10
Fernandina,2,7,9
San Cristobal,3,6,9
Pavlof,6,3,9
Masaya,3,6,9
San Miguel,6,2,8
Semeru,1,7,8
Canlaon,7,0,7
Nishino-shima,7,0,7
Krakatau,6,0,6
Villarrica,3,3,6
Bulusan,2,4,6
Takawangha,6,0,6
Marapi,2,3,5
Cotopaxi,0,5,5
Kirishima,5,0,5
Zhupanovsky,1,4,5
Sarychev Peak,5,0,5
Great Sitkin,5,0,5
Dieng,4,0,4
Katla,4,0,4
Nevado Chachani,0,3,3
Kerinci,1,2,3
Lewotolo,3,0,3
Planchón-Peteroa,3,0,3
Barren Island,2,0,2
Dempo,2,0,2
Nyamuragira,2,0,2
Öraefajökull,2,0,2
Shishaldin,2,0,2
Cerro Azul,2,0,2
Soufriere Hills,0,2,2
Banda Api,2,0,2
Lanin,2,0,2
Heard,2,0,2
Karkar,0,2,2
Fort Selkirk,0,2,2
Medvezhia,2,0,2
Novarupta,1,0,1
Tenerife,1,0,1
Chaitén,0,1,1
Tungurahua,0,1,1
Ebulobo,1,0,1
Telica,1,0,1
Asama,1,0,1
Karangetang,1,0,1
Rinjani,1,0,1
Kick 'em Jenny,1,0,1
Lokon-Empung,1,0,1
Unnamed 20.85°S/175.55°W,1,0,1
El Hierro,1,0,1
Ol Doinyo Lengai,1,0,1
La Palma,1,0,1
Loihi,1,0,1
Nyiragongo,1,0,1
Vesuvius,1,0,1
