Name,News,VAAC,Total
Sabancaya,49,1432,1481
Dukono,46,1207,1253
Reventador,8,1136,1144
Sakurajima,57,874,931
Fuego,30,681,711
Ebeko,46,501,547
Popocatépetl,13,524,537
Turrialba,35,472,507
Krakatau,57,287,344
Agung,30,279,309
Aoba,26,277,303
Sangay,10,253,263
Kilauea,106,146,252
Mayon,33,212,245
Shiveluch,51,123,174
Karymsky,29,145,174
Kadovar,21,153,174
Sinabung,12,125,137
Kirishima,18,108,126
Klyuchevskoy,13,111,124
Suwanose-jima,15,89,104
Manam,10,93,103
Veniaminof,18,50,68
Merapi,24,41,65
Ibu,20,43,63
Langila,10,50,60
Semeru,8,50,58
Cleveland,32,22,54
Yasur,8,44,52
Nevados de Chillán,12,37,49
Soputan,9,38,47
Bagana,9,36,45
Santiaguito,11,33,44
Etna,28,13,41
Kerinci,7,31,38
Copahue,7,23,30
Nevado del Ruiz,1,28,29
Pacaya,21,5,26
Piton de la Fournaise,21,3,24
Ambrym,9,14,23
Sarychev Peak,6,13,19
Semisopochnoi,14,4,18
Sierra Negra,17,0,17
Stromboli,14,0,14
Gamalama,4,10,14
Rincón de la Vieja,8,4,12
Kuchinoerabu-jima,10,0,10
Ulawun,6,4,10
Sangeang Api,4,6,10
San Miguel,8,1,9
Salak,3,5,8
Karangetang,4,4,8
Fernandina,3,4,7
Great Sitkin,7,0,7
Kusatsu-Shirane,6,0,6
Barren Island,3,3,6
Öraefajökull,6,0,6
Marapi,2,3,5
Alaid,1,4,5
Villarrica,4,0,4
Kick 'em Jenny,4,0,4
Telica,3,0,3
Cuicocha,3,0,3
Erta Ale,3,0,3
Bezymianny,3,0,3
Planchón-Peteroa,3,0,3
Kikai,3,0,3
Nishino-shima,2,0,2
Shishaldin,2,0,2
Maunaloa,2,0,2
Akan,2,0,2
Cotopaxi,0,2,2
Ketoi,1,1,2
Heard,2,0,2
Rinjani,2,0,2
Osorno,1,1,2
Iwo-jima,1,0,1
Cayambe,0,1,1
Asama,1,0,1
Michael,1,0,1
Ruapehu,1,0,1
Cerro Negro de Mayasquer,1,0,1
Furnas,1,0,1
San Cristobal,1,0,1
Maly Semiachik,1,0,1
Canlaon,1,0,1
Lascar,1,0,1
Dieng,1,0,1
Myojinsho,1,0,1
Ijen,1,0,1
Santorini,1,0,1
Nyiragongo,1,0,1
Galeras,1,0,1
Zao,1,0,1
Soufrière de Guadeloupe,1,0,1
Colima,1,0,1
Santiago,0,1,1
