Name,News,VAAC,Total
Sabancaya,26,1516,1542
Reventador,8,1393,1401
Popocatépetl,37,1197,1234
Shiveluch,61,807,868
Dukono,51,759,810
Sakurajima,54,710,764
Fuego,20,729,749
Aso,29,612,641
Nevados de Chillán,26,577,603
Planchón-Peteroa,1,380,381
Sangeang Api,26,340,366
Sangay,8,350,358
Karymsky,34,279,313
Ebeko,51,129,180
Ibu,31,130,161
Krakatau,57,104,161
Copahue,8,148,156
Agung,19,131,150
Manam,20,129,149
Nevado del Ruiz,4,128,132
Etna,36,89,125
Klyuchevskoy,35,86,121
Bromo,11,99,110
Santiaguito,16,62,78
Karangetang,38,39,77
Ubinas,16,57,73
Turrialba,12,58,70
Ulawun,16,48,64
Raikoke,15,43,58
Merapi,40,14,54
Suwanose-jima,22,31,53
Poas,16,37,53
Stromboli,46,6,52
Kerinci,16,35,51
Shishaldin,40,6,46
Bezymianny,15,24,39
Sinabung,8,26,34
Semeru,9,24,33
Piton de la Fournaise,23,6,29
Kadovar,6,20,26
Barren Island,5,17,22
Kuchinoerabu-jima,7,14,21
White Island,18,2,20
Semisopochnoi,19,0,19
Villarrica,16,3,19
Tangkubanparahu,13,4,17
San Cristobal,1,14,15
Mayon,5,10,15
Pacaya,14,0,14
Colima,11,3,14
Cleveland,13,0,13
Pavlof,12,0,12
Michael,2,9,11
Metis Shoal (Lateiki),7,3,10
Sarychev Peak,4,5,9
Rincón de la Vieja,8,0,8
Maunaloa,8,0,8
Asama,6,2,8
Veniaminof,7,0,7
Great Sitkin,5,0,5
Nyamuragira,4,0,4
Kirishima,4,0,4
Novarupta,0,4,4
Kilauea,4,0,4
Hakone,3,0,3
Awu,1,2,3
Alaid,1,2,3
Midagahara,3,0,3
Masaya,3,0,3
Redoubt,0,3,3
Ambrym,3,0,3
Kurikoma,3,0,3
Yasur,3,0,3
Nyiragongo,3,0,3
Azuma,3,0,3
Ruapehu,3,0,3
Erta Ale,3,0,3
Momotombo,0,2,2
Cerro Negro de Mayasquer,2,0,2
Unnamed 50 km NW of Vava’u (Tonga),2,0,2
Slamet,2,0,2
Soufriere Hills,0,2,2
Canlaon,2,0,2
Nishino-shima,2,0,2
Kikai,2,0,2
Laguna Jayu Khota,0,1,1
Afderà,1,0,1
Antuco,0,1,1
Tenerife,1,0,1
Bagana,0,1,1
Soputan,1,0,1
Udina,1,0,1
Osorno,1,0,1
Aoba,1,0,1
Vesuvius,1,0,1
Machin,1,0,1
Lewotolo,1,0,1
Nevado del Huila,1,0,1
Soufrière de Guadeloupe,1,0,1
Ciomadul,1,0,1
Avachinsky,1,0,1
Campi Flegrei (Phlegrean Fields),1,0,1
Santorini,1,0,1
Askja,1,0,1
Heard,1,0,1
Tinakula,1,0,1
Iztaccíhuatl,1,0,1
Taal,1,0,1
Fonualei,1,0,1
Coso,1,0,1
