Name,News,VAAC,Total
Sabancaya,32,1547,1579
Sangay,38,1340,1378
Reventador,32,1245,1277
Popocatépetl,47,1175,1222
Dukono,62,695,757
Sakurajima,79,665,744
Aso,25,669,694
Fuego,44,573,617
Klyuchevskoy,69,459,528
Suwanose-jima,71,417,488
Ebeko,68,264,332
Semeru,56,221,277
Nevados de Chillán,25,204,229
Karymsky,39,164,203
Nishino-shima,34,149,183
Ibu,40,134,174
Shiveluch,58,99,157
Nevado del Ruiz,11,124,135
Sinabung,31,77,108
Kuchinoerabu-jima,21,85,106
Taal,29,63,92
Etna,34,51,85
White Island,32,43,75
Pacaya,52,13,65
Kadovar,20,41,61
Lewotolo,11,47,58
Villarrica,29,27,56
Merapi,29,24,53
Shishaldin,27,25,52
Santiaguito,29,19,48
Krakatau,17,31,48
Yasur,16,30,46
Kerinci,18,28,46
Rincón de la Vieja,32,9,41
Bezymianny,6,32,38
Telica,14,23,37
Manam,9,26,35
Piton de la Fournaise,27,3,30
Langila,7,19,26
Kilauea,22,3,25
Copahue,12,12,24
Svartsengi,23,0,23
Maunaloa,22,0,22
Semisopochnoi,18,0,18
Stromboli,17,0,17
Novarupta,0,17,17
Cleveland,11,6,17
Ruapehu,15,0,15
Turrialba,14,0,14
Raung,9,3,12
Makushin,10,0,10
Sangeang Api,4,6,10
Mayon,10,0,10
Canlaon,9,0,9
Great Sitkin,9,0,9
Karangetang,9,0,9
Bagana,4,5,9
Tungurahua,0,8,8
Soputan,4,2,6
Laguna del Maule,6,0,6
Kirishima,6,0,6
Pavlof,6,0,6
Kikai,4,2,6
Barren Island,3,3,6
Fernandina,5,0,5
San Miguel,5,0,5
Korovin,5,0,5
Ubinas,5,0,5
Planchón-Peteroa,0,5,5
Bardarbunga,4,0,4
Irazu,4,0,4
Veniaminof,4,0,4
Erta Ale,4,0,4
Asama,4,0,4
Bulusan,4,0,4
Soufrière St. Vincent,3,0,3
Cotopaxi,0,3,3
Poas,3,0,3
Lanin,1,2,3
Kavachi,3,0,3
Grímsvötn,3,0,3
Ijen,3,0,3
Huaynaputina,3,0,3
Lopevi,3,0,3
Lonquimay,0,2,2
Campi Flegrei (Phlegrean Fields),2,0,2
Kusatsu-Shirane,2,0,2
Bromo,1,1,2
Antillanca,2,0,2
Ulawun,2,0,2
Cerro Hudson,2,0,2
Michael,2,0,2
Momotombo,2,0,2
Slamet,2,0,2
Katla,2,0,2
Katmai,2,0,2
Gaua,1,0,1
Azuma,1,0,1
Machin,1,0,1
El Misti,1,0,1
Suretamatai,1,0,1
Snaefellsjökull,1,0,1
Helgrindur,1,0,1
Westdahl,1,0,1
Agung,1,0,1
Kick 'em Jenny,1,0,1
Lokon-Empung,1,0,1
San Salvador,1,0,1
Aoba,1,0,1
Ambrym,1,0,1
La Palma,1,0,1
Mayotte Island,1,0,1
Mauna Kea,1,0,1
Pelée,1,0,1
Loihi,1,0,1
Heard,1,0,1
Soufrière de Guadeloupe,1,0,1
Gamalama,1,0,1
Yellowstone,1,0,1
