Name,News,VAAC,Total
Sabancaya,20,1503,1523
Sangay,30,1414,1444
Nevado del Ruiz,18,1224,1242
Reventador,28,1167,1195
Fuego,44,1130,1174
Suwanose-jima,50,1001,1051
Popocatépetl,37,542,579
Semeru,54,484,538
Shiveluch,63,442,505
Sakurajima,57,318,375
Dukono,22,327,349
Karymsky,47,177,224
Krakatau,50,153,203
Nevados de Chillán,17,180,197
Ibu,27,165,192
Ebeko,33,151,184
Semisopochnoi,51,111,162
Manam,21,106,127
Bezymianny,30,92,122
Kilauea,82,0,82
Lewotolo,44,34,78
Cotopaxi,13,64,77
Etna,46,30,76
Alaid,22,47,69
Pavlof,60,9,69
Hunga Tonga-Hunga Ha'apai,30,37,67
Merapi,56,7,63
Nishino-shima,12,49,61
Santiaguito,25,33,58
Great Sitkin,54,0,54
Chikurachki,21,32,53
Maunaloa,42,8,50
Stromboli,47,3,50
Yasur,18,32,50
Fagradalsfjall,42,0,42
Taal,26,15,41
Villarrica,30,7,37
Kerinci,14,22,36
Klyuchevskoy,10,24,34
Ruapehu,33,0,33
Bulusan,12,20,32
Katmai,7,24,31
White Island,24,5,29
Wolf,29,0,29
Rincón de la Vieja,27,2,29
Telica,4,22,26
Piton de la Fournaise,25,1,26
Home Reef,11,5,16
Langila,4,11,15
São Jorge,15,0,15
Turrialba,12,3,15
Aoba,14,0,14
Taupo,12,0,12
Grímsvötn,11,0,11
Lascar,5,6,11
Davidof,11,0,11
Svartsengi,10,0,10
Mayon,10,0,10
Copahue,3,7,10
San Miguel,7,2,9
Erta Ale,9,0,9
Ahyi,9,0,9
Nyiragongo,8,0,8
Krísuvík,6,2,8
Gaua,4,4,8
Bagana,5,3,8
Kadovar,1,7,8
Barren Island,1,7,8
Ambrym,8,0,8
Cleveland,7,0,7
Askja,7,0,7
Poas,6,0,6
Novarupta,0,6,6
Ontake-san,6,0,6
Trident,5,0,5
Ruang,5,0,5
Cerro Negro de Mayasquer,5,0,5
Agung,1,4,5
Karthala,5,0,5
Batu Tara,2,3,5
Sangeang Api,1,4,5
Chirinkotan,3,2,5
Raung,4,0,4
San Cristobal,4,0,4
Tsurumi,4,0,4
Iwo-jima,4,0,4
Kavachi,4,0,4
Aso,4,0,4
Canlaon,4,0,4
Edgecumbe,4,0,4
Maly Semiachik,2,2,4
Puracé,4,0,4
Marapi,4,0,4
Kirishima,4,0,4
Ofu-Olosega,3,0,3
Ta'u,3,0,3
Loihi,3,0,3
Eyafjallajökull,0,3,3
Gamkonora,3,0,3
Gamalama,3,0,3
Nyamuragira,3,0,3
Öraefajökull,0,3,3
Ulawun,1,2,3
Descabezado Grande,1,2,3
Kuchinoerabu-jima,3,0,3
Yake-dake,3,0,3
Sangay (Philippines),3,0,3
Awu,3,0,3
Soufrière St. Vincent,2,0,2
Karangetang,2,0,2
Pinatubo,2,0,2
Callaqui,2,0,2
Dempo,2,0,2
Cerro Hudson,2,0,2
Kita-Ioto,2,0,2
Bardarbunga,2,0,2
Three Sisters,2,0,2
Takawangha,2,0,2
Tangkubanparahu,2,0,2
Soufriere Hills,2,0,2
Campi Flegrei (Phlegrean Fields),2,0,2
Lonquimay,2,0,2
Tjörnes Fracture Zone,2,0,2
Kaitoku,2,0,2
Aniakchak,2,0,2
Tenerife,2,0,2
Sinabung,2,0,2
Little Sitkin,2,0,2
Heard,2,0,2
Kikai,2,0,2
Sorikmarapi,1,0,1
Late,1,0,1
Paluweh,0,1,1
Ubinas,1,0,1
Abu,0,1,1
La Palma,1,0,1
Machin,1,0,1
Hualalai,1,0,1
Mauna Kea,1,0,1
Sirung,1,0,1
Azuma,1,0,1
Colima,1,0,1
Yellowstone,1,0,1
Katla,1,0,1
Pagan,1,0,1
