Year,News,VAAC,Total
2008,1001,0,1001
2009,949,0,949
2010,951,0,951
2011,938,0,938
2012,2445,485,2930
2013,2859,3078,5937
2014,2043,2689,4732
2015,1859,1858,3717
2016,1614,3584,5198
2017,1265,8814,10079
2018,1155,9860,11015
2019,1266,11462,12728
2020,1677,10940,12617
2021,2088,12275,14363
2022,1918,11304,13222
2023,2141,12079,14220
2024,1615,10621,12236
